VariableID,ValueText
47.0,1
47.0,2
47.0,3
93.0,Pending  for Review procedures
93.0,Released
93.0,Under Editing
93.0,PR
93.0,Pending Aproval Approvers
93.0,PR To QA Approvers
93.0,Pending Aproval QA Approver
93.0, PR To Trainings
93.0,Manager Approve
93.0,Pending Aproval Manager Not  Approve
93.0,PR Final
93.0,Released
108.0,Doc-007323
236.0,04 - מעבדה מזרק אוטומטי
256.0,Guy Keenan
256.0,katya
256.0,-
256.0,katya
256.0,Guy Keenan
259.0,00-00-00
259.0,4-04-04
267.0,-
267.0,27/05/2013
267.0,-
267.0,05/01/2022
268.0,-
268.0,Signed On Hard Copy
268.0,-
268.0,Signed
269.0,-
269.0,Sina Harshuk
269.0,-
269.0,Israel Dembus
270.0,-
270.0,ayala Dvir
270.0,-
270.0,Fatina Gush
271.0,-
271.0,27/05/2013
271.0,-
271.0,02/03/2023
272.0,-
272.0,27/05/2013
272.0,-
272.0,06/01/2022
273.0,-
273.0,Signed On Hard Copy
273.0,-
273.0,Signed
274.0,-
274.0,Signed On Hard Copy
274.0,-
274.0,Signed
275.0,-
275.0, Needle Shield מדידת כח לחיצה לקריסה 
276.0,-
276.0,4-04-04 -  Needle Shield מדידת כח לחיצה לקריסה 
285.0,-
285.0," FUDAI DV Model 101 Product Design Specification. Rev. B
 FUDAI PFS Model 201 Product Design Specification. Rev. A"
291.0,Procedure \ Work Order \ Appendix
291.0,Work Order
292.0,-
292.0,
294.0,0
294.0,1
295.0,-
295.0,29/08/2013
295.0,-
295.0,30/07/2023
296.0,-
296.0,Shiri Rachamim
296.0,-
296.0,katya
297.0,4 - הנדסה
298.0,04 - Needle Shield מדידת כח לחיצה לקריסה 
304.0,27/05/2013
304.0,-
304.0,01/01/1601 02:00:00
304.0,01/01/1601 03:00:00
304.0,30/07/2023
313.0,מעבדה מזרק אוטומטי
330.0,"יש ליידע את מעבדת דאלי

Guy Keenan  בשם   katya     -     Sign by Author
fatina gush      -     Sign by Approver + Manager Approve
Ilana Kamisa        -      Sign by QA Approver"
331.0,0
381.0,0
381.0,1
438.0,-
438.0,1
438.0,0
458.0,!!! נוהל בעדכון !!! לא לשימוש
458.0, 
471.0,
547.0,מעבדת דאלי
550.0,05/01/2022
551.0,06/01/2022
552.0,05/01/2022
554.0,06/01/2022
680.0,1
680.0,0
731.0,-
731.0,Fatina Gush
732.0,-
732.0,18/07/2023
733.0,-
733.0,Signed
734.0,-
735.0,-
736.0,-
737.0,0
738.0,0
738.0,1
739.0,-
739.0,Fatina Gush
740.0,-
741.0,-
742.0,-
742.0,ללא הדרכה
743.0,0
743.0,1
743.0,0
744.0,-
744.0,05/03/2023
905.0,"Leader, Device Testing, R&D "
906.0,Quality Program Manager 
907.0,Lab Manager
923.0,"FUDAI DV Model 101 Product Design Specification. Rev. B
FUDAI PFS Model 201 Product Design Specification. Rev. A"
923.0,"Autoinjector DV Model 101 Product Design Specification. Rev. B
Autoinjector PFS Model 201 Product Design Specification. Rev. A"
923.0,
924.0,-
925.0,-
925.0,05/04/2017
926.0,-
926.0,Revital Sarue
927.0,-
927.0,Signed
973.0,1
1068.0,0
1068.0,1
1120.0,"לא נדרשת , השינויים שבוצעו הם שינויי עיצוב ועריכה שאינם משפיעים על תוכן המסמך"
